t,chi_b0,chi_b1,chi_b2,chi_b3,chi_b4,chi_b5,chi_b6,chi_b7,chi_b8
0.000,1,1,1,1,1,1,1,1,1
0.050,2,4,5,4,5,4,5,4,2
0.100,2,4,6,5,6,5,6,4,2
0.150,2,4,6,6,6,6,6,4,2
0.200,2,4,6,6,6,6,6,4,2
0.250,2,4,7,7,7,7,7,4,2
0.300,2,4,8,8,8,8,8,4,2
0.350,2,4,8,9,9,9,8,4,2
0.400,2,4,8,10,10,10,8,4,2
0.450,2,4,8,10,10,10,8,4,2
0.500,2,4,8,12,11,12,8,4,2
0.550,2,4,8,12,12,12,8,4,2
0.600,2,4,8,12,12,12,8,4,2
0.650,2,4,8,12,12,12,8,4,2
0.700,2,4,8,14,14,14,8,4,2
0.750,2,4,8,14,16,14,8,4,2
0.800,2,4,8,16,18,16,8,4,2
0.850,2,4,8,16,20,16,8,4,2
0.900,2,4,8,16,20,16,8,4,2
0.950,2,4,8,16,20,16,8,4,2
1.000,2,4,8,16,22,16,8,4,2
1.050,2,4,8,16,22,16,8,4,2
1.100,2,4,8,16,24,16,8,4,2
1.150,2,4,8,16,25,16,8,4,2
1.200,2,4,8,16,24,16,8,4,2
1.250,2,4,8,16,25,16,8,4,2
1.300,2,4,8,16,28,16,8,4,2
1.350,2,4,8,16,28,16,8,4,2
1.400,2,4,8,16,30,16,8,4,2
1.450,2,4,8,16,32,16,8,4,2
1.500,2,4,8,16,32,16,8,4,2
