t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-3.664e-14
0.100,0.055244,6,-6.217e-14
0.150,0.104502,6,-9.470e-14
0.200,0.159777,6,-1.651e-13
0.250,0.217095,7,-2.214e-13
0.300,0.273496,8,-2.786e-13
0.350,0.326879,9,-2.673e-13
0.400,0.375902,10,-3.033e-13
0.450,0.419886,10,-3.760e-13
0.500,0.458728,12,-4.947e-13
0.550,0.492800,12,-6.211e-13
0.600,0.522844,12,-7.921e-13
0.650,0.549868,12,-1.018e-12
0.700,0.575026,15,-1.204e-12
0.750,0.599492,16,-1.454e-12
0.800,0.624344,19,-1.719e-12
0.850,0.650447,20,-1.960e-12
0.900,0.678379,21,-2.118e-12
0.950,0.708394,20,-2.371e-12
1.000,0.740428,22,-2.662e-12
1.050,0.774148,23,-2.906e-12
1.100,0.809032,25,-3.201e-12
1.150,0.844464,28,-3.481e-12
1.200,0.879829,28,-3.841e-12
1.250,0.914595,30,-4.222e-12
1.300,0.948375,34,-4.678e-12
1.350,0.980967,35,-5.166e-12
1.400,1.012358,40,-5.678e-12
1.450,1.042708,40,-6.215e-12
1.500,1.072317,41,-6.829e-12
