t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-1.443e-14
0.100,0.055244,6,-2.676e-14
0.150,0.104502,6,-4.563e-14
0.200,0.159777,6,-7.405e-14
0.250,0.217095,7,-9.903e-14
0.300,0.273496,8,-1.239e-13
0.350,0.326879,9,-1.236e-13
0.400,0.375902,10,-1.354e-13
0.450,0.419886,10,-1.619e-13
0.500,0.458728,12,-2.108e-13
0.550,0.492800,12,-2.633e-13
0.600,0.522844,12,-3.358e-13
0.650,0.549868,12,-4.163e-13
0.700,0.575026,15,-4.922e-13
0.750,0.599492,16,-5.956e-13
0.800,0.624344,19,-6.960e-13
0.850,0.650447,20,-7.876e-13
0.900,0.678379,21,-8.552e-13
0.950,0.708394,20,-9.491e-13
1.000,0.740428,22,-1.055e-12
1.050,0.774148,23,-1.155e-12
1.100,0.809032,25,-1.255e-12
1.150,0.844464,28,-1.371e-12
1.200,0.879829,28,-1.495e-12
1.250,0.914595,30,-1.630e-12
1.300,0.948375,34,-1.791e-12
1.350,0.980967,35,-1.963e-12
1.400,1.012358,40,-2.154e-12
1.450,1.042708,40,-2.356e-12
1.500,1.072317,40,-2.581e-12
1.550,1.101565,44,-2.822e-12
1.600,1.130852,44,-3.066e-12
1.650,1.160542,50,-3.323e-12
1.700,1.190909,52,-3.599e-12
1.750,1.222106,56,-3.907e-12
1.800,1.254149,58,-4.213e-12
1.850,1.286928,61,-4.538e-12
1.900,1.320232,64,-4.856e-12
1.950,1.353788,64,-5.192e-12
2.000,1.387307,64,-5.548e-12
