t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-1.443e-14
0.100,0.055244,6,-2.676e-14
0.150,0.104502,6,-4.563e-14
0.200,0.159777,6,-7.405e-14
0.250,0.217095,7,-9.903e-14
0.300,0.273496,8,-1.239e-13
0.350,0.326879,9,-1.236e-13
0.400,0.375902,10,-1.354e-13
0.450,0.419886,10,-1.619e-13
0.500,0.458728,12,-2.108e-13
0.550,0.492800,12,-2.633e-13
0.600,0.522844,12,-3.358e-13
0.650,0.549868,12,-4.163e-13
0.700,0.575026,15,-4.922e-13
0.750,0.599492,16,-5.956e-13
0.800,0.624344,19,-6.960e-13
0.850,0.650447,20,-7.876e-13
0.900,0.678379,21,-8.552e-13
0.950,0.708394,20,-9.491e-13
1.000,0.740428,22,-1.055e-12
1.050,0.774148,23,-1.155e-12
1.100,0.809032,25,-1.255e-12
1.150,0.844464,28,-1.371e-12
1.200,0.879829,28,-1.495e-12
1.250,0.914595,30,-1.630e-12
1.300,0.948375,34,-1.791e-12
1.350,0.980967,35,-1.963e-12
1.400,1.012358,40,-2.154e-12
1.450,1.042708,40,-2.356e-12
1.500,1.072317,40,-2.581e-12
1.550,1.101565,44,-2.822e-12
1.600,1.130852,44,-3.066e-12
1.650,1.160542,50,-3.323e-12
1.700,1.190909,52,-3.599e-12
1.750,1.222106,56,-3.907e-12
1.800,1.254149,58,-4.213e-12
1.850,1.286928,61,-4.538e-12
1.900,1.320232,64,-4.856e-12
1.950,1.353788,64,-5.192e-12
2.000,1.387307,64,-5.548e-12
2.050,1.420526,64,-5.895e-12
2.100,1.453245,64,-6.252e-12
2.150,1.485354,64,-6.643e-12
2.200,1.516841,64,-7.077e-12
2.250,1.547789,64,-7.518e-12
2.300,1.578355,64,-8.003e-12
2.350,1.608748,64,-8.512e-12
2.400,1.639190,64,-9.040e-12
2.450,1.669882,64,-9.560e-12
2.500,1.700976,64,-1.013e-11
2.550,1.732557,64,-1.072e-11
2.600,1.764628,64,-1.132e-11
2.650,1.797119,64,-1.192e-11
2.700,1.829900,64,-1.249e-11
2.750,1.862804,64,-1.293e-11
2.800,1.895654,64,-1.292e-11
2.850,1.928291,64,-1.157e-11
2.900,1.960596,64,-6.485e-12
2.950,1.992508,64,8.010e-12
3.000,2.024027,64,4.491e-11
3.050,2.055215,64,1.339e-10
3.100,2.086180,64,3.365e-10
3.150,2.117061,64,8.174e-10
3.200,2.148004,64,1.877e-09
3.250,2.179137,64,3.980e-09
3.300,2.210556,64,8.113e-09
3.350,2.242308,64,1.621e-08
3.400,2.274386,64,3.214e-08
3.450,2.306733,64,6.261e-08
3.500,2.339255,64,1.190e-07
3.550,2.371834,64,2.193e-07
3.600,2.404347,64,3.909e-07
3.650,2.436687,64,6.873e-07
3.700,2.468777,64,1.193e-06
3.750,2.500580,64,2.048e-06
3.800,2.532105,64,3.473e-06
3.850,2.563401,64,5.824e-06
3.900,2.594545,64,9.659e-06
3.950,2.625634,64,1.584e-05
4.000,2.656762,64,2.569e-05
