t,S_mid,max_chi,trunc_err
0.000,0.000000,1,0.000e+00
0.050,0.017413,5,-4.219e-15
0.100,0.055243,6,-7.550e-15
0.150,0.104501,6,-1.310e-14
0.200,0.159775,6,-1.943e-14
0.250,0.217092,7,-2.331e-14
0.300,0.273493,8,-3.264e-14
0.350,0.326876,9,-3.275e-14
0.400,0.375898,10,-3.131e-14
0.450,0.419883,10,-3.597e-14
0.500,0.458725,12,-4.741e-14
0.550,0.492797,12,-6.950e-14
0.600,0.522841,12,-9.093e-14
0.650,0.549866,12,-1.069e-13
0.700,0.575024,14,-1.292e-13
0.750,0.599491,16,-1.590e-13
0.800,0.624343,18,-1.830e-13
0.850,0.650446,20,-2.066e-13
0.900,0.678378,20,-2.250e-13
0.950,0.708394,20,-2.409e-13
1.000,0.740428,22,-2.561e-13
1.050,0.774148,22,-2.806e-13
1.100,0.809032,24,-3.034e-13
1.150,0.844464,25,-3.213e-13
1.200,0.879829,24,-3.472e-13
1.250,0.914594,25,-3.748e-13
1.300,0.948375,28,-3.977e-13
1.350,0.980966,28,-4.291e-13
1.400,1.012356,30,-4.616e-13
1.450,1.042706,32,-4.992e-13
1.500,1.072313,32,-5.359e-13
