t,Sz_0,Sz_1,Sz_2,Sz_3,Sz_4,Sz_5,Sz_6,Sz_7,Sz_8,Sz_9,Sz_10,Sz_11,Sz_12,Sz_13,Sz_14,Sz_15
0.000,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00
0.050,9.950208e-01,9.900664e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900665e-01,9.900664e-01,9.950208e-01
0.100,9.803303e-01,9.610533e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610526e-01,9.610533e-01,9.803303e-01
0.150,9.566526e-01,9.152504e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152410e-01,9.152504e-01,9.566526e-01
0.200,9.251391e-01,8.562375e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.561851e-01,8.562375e-01,9.251391e-01
0.250,8.872893e-01,7.885552e-01,7.883627e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883626e-01,7.883627e-01,7.885552e-01,8.872893e-01
0.300,8.448503e-01,7.172912e-01,7.167444e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167441e-01,7.167444e-01,7.172912e-01,8.448503e-01
0.350,7.997018e-01,6.476235e-01,6.463260e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463251e-01,6.463260e-01,6.476235e-01,7.997018e-01
0.400,7.537360e-01,5.843654e-01,5.816733e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816702e-01,5.816733e-01,5.843654e-01,7.537360e-01
0.450,7.087427e-01,5.315568e-01,5.265282e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265187e-01,5.265282e-01,5.315568e-01,7.087427e-01
0.500,6.663066e-01,4.921402e-01,4.835152e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.834897e-01,4.835152e-01,4.921402e-01,6.663066e-01
0.550,6.277261e-01,4.677498e-01,4.539767e-01,4.539153e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539152e-01,4.539153e-01,4.539767e-01,4.677498e-01,6.277261e-01
0.600,5.939569e-01,4.586327e-01,4.379492e-01,4.378133e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378131e-01,4.378133e-01,4.379492e-01,4.586327e-01,5.939569e-01
0.650,5.655840e-01,4.637024e-01,4.342754e-01,4.339966e-01,4.339961e-01,4.339961e-01,4.339961e-01,4.339961e-01,4.339961e-01,4.339961e-01,4.339961e-01,4.339961e-01,4.339966e-01,4.342754e-01,4.637024e-01,5.655840e-01
0.700,5.428231e-01,4.807167e-01,4.408344e-01,4.402995e-01,4.402982e-01,4.402982e-01,4.402982e-01,4.402982e-01,4.402982e-01,4.402982e-01,4.402982e-01,4.402982e-01,4.402995e-01,4.408344e-01,4.807167e-01,5.428231e-01
0.750,5.255482e-01,5.065560e-01,4.548579e-01,4.538898e-01,4.538865e-01,4.538865e-01,4.538865e-01,4.538865e-01,4.538865e-01,4.538865e-01,4.538865e-01,4.538865e-01,4.538898e-01,4.548579e-01,5.065560e-01,5.255482e-01
0.800,5.133413e-01,5.375700e-01,4.732908e-01,4.716271e-01,4.716195e-01,4.716195e-01,4.716195e-01,4.716195e-01,4.716195e-01,4.716195e-01,4.716195e-01,4.716195e-01,4.716271e-01,4.732908e-01,5.375700e-01,5.133413e-01
0.850,5.055589e-01,5.699556e-01,4.931537e-01,4.904258e-01,4.904094e-01,4.904094e-01,4.904094e-01,4.904094e-01,4.904094e-01,4.904094e-01,4.904094e-01,4.904094e-01,4.904258e-01,4.931537e-01,5.699556e-01,5.055589e-01
0.900,5.014079e-01,6.001262e-01,5.118655e-01,5.075793e-01,5.075459e-01,5.075458e-01,5.075458e-01,5.075458e-01,5.075458e-01,5.075458e-01,5.075458e-01,5.075459e-01,5.075793e-01,5.118655e-01,6.001262e-01,5.014079e-01
0.950,5.000242e-01,6.250361e-01,5.274899e-01,5.210147e-01,5.209498e-01,5.209496e-01,5.209496e-01,5.209496e-01,5.209496e-01,5.209496e-01,5.209496e-01,5.209498e-01,5.210147e-01,5.274899e-01,6.250361e-01,5.000242e-01
1.000,5.005466e-01,6.424302e-01,5.388835e-01,5.294513e-01,5.293305e-01,5.293300e-01,5.293300e-01,5.293300e-01,5.293300e-01,5.293300e-01,5.293300e-01,5.293305e-01,5.294513e-01,5.388835e-01,6.424302e-01,5.005466e-01
1.050,5.021808e-01,6.509968e-01,5.457327e-01,5.324537e-01,5.322381e-01,5.322371e-01,5.322371e-01,5.322371e-01,5.322371e-01,5.322371e-01,5.322371e-01,5.322381e-01,5.324537e-01,5.457327e-01,6.509968e-01,5.021808e-01
1.100,5.042490e-01,6.504171e-01,5.484835e-01,5.303818e-01,5.300114e-01,5.300092e-01,5.300092e-01,5.300092e-01,5.300092e-01,5.300092e-01,5.300092e-01,5.300114e-01,5.303818e-01,5.484835e-01,6.504171e-01,5.042490e-01
1.150,5.062224e-01,6.413093e-01,5.481802e-01,5.242514e-01,5.236368e-01,5.236325e-01,5.236325e-01,5.236325e-01,5.236325e-01,5.236325e-01,5.236325e-01,5.236368e-01,5.242514e-01,5.481802e-01,6.413093e-01,5.062224e-01
1.200,5.077358e-01,6.250831e-01,5.462395e-01,5.155305e-01,5.145437e-01,5.145352e-01,5.145352e-01,5.145352e-01,5.145352e-01,5.145352e-01,5.145352e-01,5.145437e-01,5.155305e-01,5.462395e-01,6.250831e-01,5.077358e-01
1.250,5.085859e-01,6.037259e-01,5.441932e-01,5.059016e-01,5.043650e-01,5.043490e-01,5.043489e-01,5.043489e-01,5.043489e-01,5.043489e-01,5.043490e-01,5.043650e-01,5.059016e-01,5.441932e-01,6.037259e-01,5.085859e-01
1.300,5.087144e-01,5.795459e-01,5.434346e-01,4.970215e-01,4.946973e-01,4.946681e-01,4.946680e-01,4.946680e-01,4.946680e-01,4.946680e-01,4.946681e-01,4.946973e-01,4.970215e-01,5.434346e-01,5.795459e-01,5.087144e-01
1.350,5.081812e-01,5.549053e-01,5.450030e-01,4.903106e-01,4.868905e-01,4.868388e-01,4.868385e-01,4.868385e-01,4.868385e-01,4.868385e-01,4.868388e-01,4.868905e-01,4.903106e-01,5.450030e-01,5.549053e-01,5.081812e-01
1.400,5.071301e-01,5.319709e-01,5.494314e-01,4.867926e-01,4.818904e-01,4.818016e-01,4.818010e-01,4.818010e-01,4.818010e-01,4.818010e-01,4.818016e-01,4.818904e-01,4.867926e-01,5.494314e-01,5.319709e-01,5.071301e-01
1.450,5.057528e-01,5.125075e-01,5.566757e-01,4.870034e-01,4.801517e-01,4.800034e-01,4.800022e-01,4.800022e-01,4.800022e-01,4.800022e-01,4.800034e-01,4.801517e-01,4.870034e-01,5.566757e-01,5.125075e-01,5.057528e-01
1.500,5.042545e-01,4.977341e-01,5.661303e-01,4.909717e-01,4.816250e-01,4.813839e-01,4.813816e-01,4.813816e-01,4.813816e-01,4.813816e-01,4.813839e-01,4.816250e-01,4.909717e-01,5.661303e-01,4.977341e-01,5.042545e-01
