t,chi_b0,chi_b1,chi_b2,chi_b3,chi_b4,chi_b5,chi_b6,chi_b7,chi_b8,chi_b9,chi_b10,chi_b11,chi_b12,chi_b13,chi_b14,chi_b15,chi_b16,chi_b17,chi_b18,chi_b19,chi_b20,chi_b21,chi_b22,chi_b23,chi_b24,chi_b25,chi_b26,chi_b27,chi_b28,chi_b29,chi_b30
0.000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.050,2,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,2
0.100,2,4,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,4,2
0.150,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2
0.200,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,2
0.250,2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,2
0.300,2,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,2
0.350,2,4,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,4,2
0.400,2,4,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,4,2
0.450,2,4,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,4,2
0.500,2,4,8,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,11,12,8,4,2
0.550,2,4,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,4,2
0.600,2,4,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,4,2
0.650,2,4,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,4,2
0.700,2,4,8,14,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,15,14,14,8,4,2
0.750,2,4,8,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,8,4,2
0.800,2,4,8,16,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,19,18,16,8,4,2
0.850,2,4,8,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,8,4,2
0.900,2,4,8,16,20,21,20,21,20,21,20,21,20,21,20,21,20,21,20,21,20,21,20,21,20,21,20,16,8,4,2
0.950,2,4,8,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,8,4,2
1.000,2,4,8,16,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,21,22,16,8,4,2
1.050,2,4,8,16,22,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,23,22,22,16,8,4,2
1.100,2,4,8,16,24,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,25,24,24,16,8,4,2
1.150,2,4,8,16,24,25,25,27,28,25,25,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,25,16,8,4,2
1.200,2,4,8,16,24,26,27,26,28,27,27,26,27,28,27,28,27,28,27,28,27,28,27,28,27,28,24,16,8,4,2
1.250,2,4,8,16,25,29,29,29,30,29,30,29,28,29,29,29,29,29,29,29,29,29,29,29,30,29,25,16,8,4,2
1.300,2,4,8,16,26,31,30,34,34,31,30,34,34,30,30,33,34,30,31,33,34,33,34,33,34,33,28,16,8,4,2
1.350,2,4,8,16,28,32,33,33,35,32,33,33,34,33,35,32,33,34,33,32,33,34,34,34,35,33,28,16,8,4,2
1.400,2,4,8,16,28,34,36,39,40,39,38,35,36,39,39,35,36,39,40,39,39,34,36,39,39,39,30,16,8,4,2
1.450,2,4,8,16,31,39,39,40,40,40,40,39,39,40,40,39,39,40,40,39,39,40,40,39,39,40,32,16,8,4,2
1.500,2,4,8,16,32,40,40,40,40,40,40,40,40,40,41,40,40,40,41,40,40,40,40,40,40,40,32,16,8,4,2
