t,err_Sz,err_Sx,err_corr_XX,err_entropy
0,0,0,0,0
0.05,2.38342e-08,0,5.40869e-08,1.28602e-07
0.1,9.19195e-08,0,2.11862e-07,3.88245e-07
0.15,1.94453e-07,0,4.60408e-07,6.98791e-07
0.2,3.16531e-07,0,7.79916e-07,1.01266e-06
0.25,4.40099e-07,0,1.146e-06,1.29734e-06
0.3,5.463e-07,0,1.53243e-06,1.53161e-06
0.35,6.17913e-07,0,1.91392e-06,1.70337e-06
0.4,6.41543e-07,0,2.26855e-06,1.80759e-06
0.45,7.13909e-07,0,2.57949e-06,1.84446e-06
0.5,8.44806e-07,0,2.83587e-06,1.81818e-06
0.55,9.7214e-07,0,3.03266e-06,1.7365e-06
0.6,1.09106e-06,0,3.16976e-06,1.61081e-06
0.65,1.19701e-06,0,3.2504e-06,1.45619e-06
0.7,1.28606e-06,0,3.27936e-06,1.29084e-06
0.75,1.35528e-06,0,3.26116e-06,1.13452e-06
0.8,1.403e-06,0,3.19876e-06,1.00606e-06
0.85,1.42904e-06,0,3.09292e-06,9.20524e-07
0.9,1.43478e-06,0,2.94235e-06,8.86902e-07
0.95,1.42309e-06,0,2.74467e-06,9.06765e-07
1,1.39819e-06,0,2.53289e-06,9.74337e-07
1.05,1.3653e-06,0,2.57273e-06,1.07777e-06
1.1,1.33026e-06,0,2.55654e-06,1.25408e-06
1.15,1.44686e-06,0,2.47663e-06,1.43157e-06
1.2,1.60373e-06,0,2.49504e-06,1.55969e-06
1.25,1.8113e-06,0,2.65157e-06,1.63301e-06
1.3,2.07458e-06,0,2.72849e-06,1.64918e-06
1.35,2.39206e-06,0,2.7054e-06,1.60911e-06
1.4,2.75553e-06,0,2.77644e-06,1.54145e-06
1.45,3.15074e-06,0,3.22914e-06,1.47384e-06
1.5,3.55877e-06,0,3.57952e-06,1.3858e-06
1.55,3.95789e-06,0,3.8203e-06,1.2934e-06
1.6,4.3258e-06,0,3.95361e-06,1.30269e-06
1.65,4.64174e-06,0,3.98983e-06,1.38024e-06
1.7,4.8885e-06,0,3.94566e-06,1.45158e-06
1.75,5.05395e-06,0,3.96922e-06,1.51311e-06
1.8,5.13189e-06,0,4.27993e-06,1.56152e-06
1.85,5.12234e-06,0,4.49619e-06,1.59436e-06
1.9,5.03115e-06,0,4.61944e-06,1.69756e-06
1.95,4.86905e-06,0,4.65825e-06,1.94587e-06
2,4.65036e-06,0,4.62681e-06,2.21615e-06
